"STATION","NAME","DATE","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-22","50","43"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-23","53","42"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-24","55","41"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-25","60","41"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-26","59","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-27","66","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-28","70","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-01","64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-02","65","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-03","56","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-04","55","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-05","56","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-06","58","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-07","67","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-08","69","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-09","59","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-10","65","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-11","69","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-12","56","41"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-13","60","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-14","67","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-15","60","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-16","60","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-17","56","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-18","64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-19","56","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-20","60","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-21","64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-22","79","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-23","57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-24","55","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-25","57","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-26","58","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-27","61","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-28","59","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-29","58","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-30","58","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-31","63","48"
