Food_Item_ID,foodcode,foodname,Protein (g),Total Fat (g), Carbohydrate (g), Energy (kcal)
1,11111000,"Milk, whole",3.1499,3.25,4.7999,61
2,11111100,"Milk, whole, low-sodium",3.1,3.4599,4.4599,61
3,11111150,"Milk, whole, calcium fortified",3.1499,3.25,4.7999,61
4,11111160,"1% milk, calcium fortified ",3.37,0.97,4.99,42
5,11111170,"Fat free milk, calcium fortified ",3.3999,0.18,4.8498,35
6,11112110,2% milk,3.2999,1.98,4.7999,50
7,11112120,1% acidophilus milk,3.37,0.97,4.99,42
8,11112130,2% acidophilus milk,3.2999,1.98,4.7999,50
9,11112210,1% milk,3.37,0.97,4.99,42
10,11113000,Fat free milk ,3.37,0.08,4.96,34
11,11114300,"1% milk, lactose-free (Lactaid)",3.37,0.97,4.99,42
12,11114310,"1% milk, lactose-free (Lactaid), calcium-fortified",3.37,0.97,4.99,42
13,11114320,"Fat free milk, lactose-free",3.37,0.08,4.96,34
14,11114321,"Fat free milk, lactose-free, calcium fortified",3.3999,0.18,4.8498,35
15,11114330,"2% milk, lactose-free (Lactaid)",3.2999,1.98,4.7999,50
16,11114350,"Lactaid milk, whole milk",3.1499,3.25,4.7999,61
17,11115000,"Buttermilk, fat free (skim)",3.31,0.88,4.79,40
18,11115100,1% buttermilk,3.31,0.88,4.79,40
19,11115200,2% buttermilk,4.0998,2,5.2999,56
5507,11115300,"Buttermilk, whole",3.21,3.31,4.8799,62
20,11116000,Goat's milk ,3.56,4.1398,4.45,69
21,11121100,"Milk, dry, whole, reconstituted",3.24,3.29,4.73,61
22,11121210,"Milk, dry, low fat, reconstituted",2.9199,1.06,4.33,38
23,11121300,"Milk, dry, fat free, reconstituted",3.2599,0.07,4.8498,33
24,11122000,"Buttermilk, dry, reconstituted",3.3599,0.57,4.7999,38
25,11211050,"Evaporated milk, whole",6.8098,7.5598,10.0398,134
26,11211400,"Evaporated milk, reduced fat (2%)",7.4199,1.96,11.15,92
27,11212050,"Evaporated milk, fat free (skim) ",7.5499,0.2,11.35,78
28,11220000,Condensed milk ,7.91,8.6998,54.3999,321
29,11320000,"Milk, soy (soy beverage)",2.6299,1.48,4.99,44
30,11320100,Light soymilk ,2.3799,0.77,3.5099,30
31,11320200,"Milk, soy (soy beverage), fat free (nonfat)",2.47,0.04,4.1398,28
32,11321000,Chocolate soymilk ,2.2599,1.53,9.9498,63
33,11321100,Light chocolate soymilk ,2.1,0.64,8.24,47
34,11321200,"Milk, soy (soy beverage), fat free (nonfat), chocolate",2.47,0.04,8.5099,44
6146,11350000,"Almond milk, sweetened",0.42,1.04,6.5899,38
6147,11350010,"Almond milk, chocolate, sweetened",0.63,1.25,9.38,50
6857,11350020,"Almond milk, unsweetened",0.59,1.1,0.58,15
6858,11350030,"Almond milk, chocolate, unsweetened",0.83,1.4599,1.25,21
6859,11370000,Coconut milk,0.21,2.08,2.9199,31
35,11411100,"Yogurt, plain, whole milk",3.47,3.25,4.66,61
37,11411300,"Yogurt, plain, fat free",5.73,0.18,7.6799,56
6860,11411400,"Greek yogurt, plain, whole milk",9,5,3.98,97
6861,11411410,"Greek yogurt, plain, low fat",9.9499,1.9199,3.94,73
6862,11411420,"Greek yogurt, plain, fat free",10.1899,0.39,3.6,59
38,11421000,"Yogurt, coffee, whole milk",4.8399,3.14,13.5398,100
39,11422000,"Yogurt, coffee, lowfat",4.9299,1.25,13.8,85
5508,11422100,"Yogurt, vanilla, lowfat, low calorie sweetener",4.9299,1.25,13.8,86
40,11423000,"Yogurt, coffee, fat free",4.24,0.16,16.46,81
41,11424000,"Yogurt, coffee, light (fat free, low calorie sweetener)",3.8599,0.18,7.5,43
6863,11424500,"Greek yogurt, vanilla, whole milk",8.39,5.41,9.25,118
6864,11424510,"Greek yogurt, vanilla, low fat",8.64,2.5,9.5399,95
6865,11424520,"Greek yogurt, vanilla, fat free",8.64,0.18,10.3699,78
42,11426000,"Chocolate yogurt, whole milk",3.43,3.08,22.8,136
43,11427000,"Chocolate yogurt, fat free",3.5299,0,23.53,112
6866,11428000,"Greek yogurt, chocolate, fat free",8.75,0.32,10.84,80
44,11431000,"Yogurt, blueberry, whole milk",4.28,3.2,18.64,119
45,11432000,"Yogurt, blueberry, lowfat",4.37,1.08,19.05,102
46,11432500,"Yogurt, blueberry, lowfat, low calorie sweetener",4.86,1.4098,18.6,105
47,11433000,"Yogurt, blueberry, fat free",4.4,0.2,19,95
48,11433500,"Yogurt, blueberry, light (fat free, low calorie sweetener)",3.74,0.17,7.8799,45
6867,11434000,"Greek yogurt, fruit, whole milk",7.33,3,12.2899,106
6868,11434010,"Greek yogurt, fruit, low fat",8.1699,2.5699,11.89,103
6869,11434020,"Greek yogurt, fruit, fat free",8.05,0.15,12.07,82
50,11446000,Fruit and low fat yogurt parfait,3.3599,1.01,15.8599,84
51,11460160,"Frozen yogurt, chocolate, low fat",5.24,1.95,21.7898,113
52,11460170,"Frozen yogurt, other flavors, low fat",4.4599,1.32,20.98,112
53,11460200,"Frozen yogurt, chocolate, nonfat",4.4,0.8,19.6999,107
54,11460250,"Frozen yogurt, other flavors, with sorbet",3.71,3.41,26.68,152
55,11460300,"Frozen yogurt, other flavors, nonfat",4.41,0,27.94,129
56,11460400,"Frozen yogurt, chocolate, nonfat, low-calorie sweetener",4.4,0.8,19.6999,107
57,11460410,"Frozen yogurt, other flavors, nonfat, low-calorie sweetener",4.4,0.8,19.6999,104
58,11460430,"Frozen yogurt, chocolate, whole milk",3,3.6,21.6,127
59,11460440,"Frozen yogurt, other flavors, whole milk",3,3.6,21.6,127
60,11461000,"Frozen yogurt, chocolate-coated",3.22,16.41,28.92,270
61,11461100,"Frozen yogurt, carob-coated",4.9299,11.3699,31.39,244
62,11461200,"Frozen yogurt, sandwich",4.6398,5.1299,37.68,212
63,11461250,"Frozen yogurt, cone, chocolate",5.15,9.1198,31.37,214
64,11461260,"Frozen yogurt, cone, other flavors",4.48,5.3799,31.5,189
65,11461270,"Frozen yogurt, cone, other flavors, low fat",5.4199,1.86,11.27,84
66,11461280,"Frozen yogurt, cone, chocolate, low fat",5.4,2.24,25.1498,131
67,11511100,"Chocolate milk, whole",3.1699,3.39,10.34,83
68,11511200,"Chocolate milk, reduced fat (2%)",2.99,1.8998,12.13,76
69,11511300,"Chocolate milk, fat free (skim)",3.4199,0.28,10.94,56
70,11511400,"Chocolate milk, low fat (1%)",3.24,1,12.6,71
71,11512000,"Hot chocolate, homemade, with whole milk",3.39,3.33,12.14,86
72,11512500,"Hot chocolate, Puerto Rican style, with whole milk",4.07,6.98,10.52,116
73,11512500,"Hot chocolate, Puerto Rican style, with reduced fat (2%) milk",2.1099,3.93,7.6699,70
74,11512500,"Hot chocolate, Puerto Rican style, with low fat (1%) milk",2.1499,3.39,7.7698,65
75,11513100,"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with whole milk ",3.27,3.1699,11.8698,89
76,11513150,"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with reduced fat (2%) milk ",3.3999,2,11.8698,79
77,11513200,"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with low fat (1%) milk ",3.47,1.08,12.0398,72
78,11513300,"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with fat free (skim) milk ",3.47,0.26,11.99,64
6148,11513355,"Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with whole milk",3.47,3.5699,7.99,78
6149,11513360,"Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with reduced fat (2%) milk",3.6099,2.37,7.99,68
6150,11513365,"Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with low fat (1%) milk",3.68,1.4098,8.1699,60
6151,11513370,"Hot cocoa, (Hershey's), (Nestle's Quick), reduced sugar, with fat free (skim) milk",3.68,0.57,8.13,52
79,11513500,"Chocolate milk, homemade, with whole milk ",3.0099,2.97,12.85,90
80,11513550,"Chocolate milk, homemade, with reduced fat (2%) milk ",3.14,1.87,12.85,81
81,11513600,"Chocolate milk, homemade, with low fat (1%) milk ",3.2,0.99,13.02,74
82,11513700,"Chocolate milk, homemade, with fat free (skim) milk ",3.2,0.22,12.96,67
83,11514100,"Hot chocolate, (Swiss Miss), (Carnation), made from dry mix (with milk & sugar), with water",0.92,0.55,11.5299,55
84,11514300,"Hot chocolate, (Carnation), (Swiss Miss), (Nutrisystem), made from mix (with milk & low calorie sweetener), with water",1.21,0.23,5.61,29
85,11514500,Ovaltine sugar free Hot Cocoa ,1.54,0.18,3.56,22
86,11515400,Alba High Calcium Cocoa,2.4399,0.29,5.6299,35
87,11516000,"Chocolate Milk, (Nestle's Quik), (Swiss Miss), with 1% fat milk",4.03,1.08,8.6198,60
88,11518000,"Chocolate beverage, (Jenny Craig), (Alba), from dry mix with milk and low calorie sweetener, water added",2.58,0.27,5.2999,34
89,11519050,"Milk, whole, with strawberry or vanilla flavor",2.8999,3,12.6,88
90,11519105,"Milk, reduced fat (2%), with strawberry or vanilla flavor",3.0499,1.83,12.08,77
91,11519200,"Milk, low fat (1%) with strawberry or vanilla flavor",3.1,0.91,12.77,71
92,11519205,"Milk, fat free (skim), with strawberry or vanilla flavor",3.1,0.09,12.72,63
93,11521000,"Malted milk, chocolate, with 2% milk",3.4199,2.1299,11.3599,78
94,11522000,"Malted milk, natural flavor, with 2% milk",4.15,2.5099,10.1099,80
95,11522000,"Malted milk, natural flavor, with whole milk",4.03,3.75,10.06,90
96,11525000,"Malted milk, fortified, natural flavor, with whole milk",3.6499,3.1,11.0398,87
97,11525000,"Malted milk, fortified, natural flavor, with 2% milk",3.7799,1.9299,11.0398,76
98,11525000,"Malted milk, fortified, natural flavor, with skim milk",3.85,0.18,11.17,62
99,11526000,"Malted milk, fortified, chocolate, with skim milk",3.49,0.34,11.25,62
100,11526000,"Malted milk, fortified, chocolate, with whole milk",3.29,3.2599,11.1198,87
101,11526000,"Malted milk, fortified, chocolate, with 2% milk",3.43,2.0899,11.1198,77
102,11526000,"Malted milk, fortified, chocolate, with 1% milk",3.49,1.1598,11.3,69
103,11531000,"Eggnog, with whole milk",4.5499,4.19,8.05,88
104,11531500,"Eggnog, with 2% milk ",4.74,3.1699,6.5099,74
105,11541110,"Milk shake,  fountain-type, chocolate, with whole milk",3.14,4.95,21.44,140
106,11541110,"Milk shake,  fountain-type, chocolate, with 2% milk",3.23,4.24,21.44,134
107,11541110,"Milk shake,  fountain-type, chocolate, with low fat milk",3.27,3.6699,21.5398,129
108,11541120,"Milk shake,  fountain-type, vanilla or strawberry, with whole milk",2.68,4.69,21.4499,136
109,11541120,"Milk shake,  fountain-type, vanilla or strawberry, with 2% milk",2.7999,3.4399,21.5598,126
110,11541120,"Milk shake,  fountain-type, vanilla or strawberry, with low fat milk",2.7599,3.99,21.4499,130
111,11541120,"Milk shake,  fountain-type, vanilla or strawberry, with skim milk",2.7999,2.95,21.5,121
112,11541400,"Milk shake, with malt, with whole milk",3.41,5.07,21.73,145
113,11541400,"Milk shake, with malt, with 1% milk",3.5299,3.87,21.8298,135
114,11542100,"Milk shake, fast food or carry-out, chocolate",3.3999,3.7,20.5,127
115,11542200,"Milk shake, fast food or carry out, vanilla or strawberry",3.37,6.5198,19.59,148
116,11551050,"Fruit smoothie, made with whole milk",2.2799,2.16,13.08,78
117,11551050,"Fruit smoothie, made with fat free (skim) milk",2.4199,0.15,13.16,61
118,11551050,"Fruit smoothie, made with reduced fat (2%) milk",2.37,1.35,13.08,71
119,11551050,"Fruit smoothie, made with low fat (1%) milk",2.4199,0.71,13.1999,66
120,11552200,Orange Julius,5.3898,0.14,14.82,81
121,11553000,"Fruit smoothie, made with yogurt and ice cream",1.71,1.69,20.3998,99
122,11560000,Chocolate-flavored drink,0.64,0.4,10.68,49
123,11560020,Strawberry-flavored drink,0.64,0.4,10.68,49
124,11561000,"Cafe con leche, with whole milk",1.6598,1.6598,2.4399,31
125,11561010,Cafe con leche  with sugar,1.55,1.55,8.7599,55
126,11561010,Cafe con leche with sugar and 2% milk,1.62,0.95,8.7599,49
127,11611000,"Instant breakfast, canned",5.4599,1.8799,12.93,90
128,11612000,"Instant breakfast, powder, with 2% milk",5.4859,1.9039,12.885,90.423
129,11612000,"Instant breakfast, powder, with whole milk ",5.3559,3.0059,12.885,99.9749
130,11612000,"Instant breakfast, powder, with skim milk",5.5389,0.253,12.9949,76.379
131,11612000,"Instant breakfast, powder, with 1% milk",5.5469,1.0269,13.05,83.477
132,11613000,"Instant breakfast, powder, low calorie sweetener, with 2% milk",5.7619,2.216,7.5419,73.3329
133,11622010,"Diet beverage, powder, made with fat free milk",5.82,0.46,7.6799,58
134,11623000,Ensure Nutrition Shake,3.5,1.3999,10.9,70
135,11631000,"Meal supplement, high calorie, canned or powdered, reconstituted",4.21,2.6299,12.94,92
136,11641000,"Meal replacement, high protein, liquid",5.7,2.2,13,94
137,11641020,Boost Nutritional Energy Drink,5.7,2.2,13,94
138,11811000,"Milk, dry, whole, not reconstituted",26.32,26.71,38.42,496
139,11812000,Low fat dry milk powder,34.7599,1.7,51.67,363
140,11813000,"Milk, dry, nonfat, not reconstituted",35.1,0.72,52.1899,358
141,11820000,"Buttermilk, dry, not reconstituted",34.2999,5.78,49,387
142,11825000,"Whey, sweet, dry",12.93,1.07,74.4599,353
143,11830100,"Cocoa, dry mix (with milk & sugar), not reconstituted",6.6699,4,83.73,398
144,11830110,"Cocoa, dry mix (with nonfat dry milk & low calorie sweetener), not reconstituted",15.49,3,71.93,377
145,11830150,"Cocoa powder, unsweetened",19.6,13.6999,57.8999,228
146,11830160,"Chocolate flavored powdered drink mix, not reconstituted",3.9199,2.68,90.59,402
147,11830170,"Chocolate-flavored powdered drink mix with low-calorie sweetener, not reconstituted",15.49,3,71.93,377
148,11830200,"Malted milk, dry mix, natural flavor, not reconstituted",14.2898,9.5198,71.2099,428
149,11830210,"Malted milk, dry mix, fortified, natural flavor, not reconstituted",9.41,1.33,83.59,383
150,11830250,"Malted milk, dry mix, chocolate, not reconstituted",5.0998,4.7599,86.9398,411
151,11830260,"Malted milk, dry mix, fortified, chocolate, not reconstituted",4.9,3.3999,84.5999,389
152,11830400,"Nestle's Quik powder, strawberry",0.1,0.2,99.0999,389
153,11830800,"Instant breakfast, powder, not reconstituted",19.8998,1.3998,66.2,357
154,11830810,"Instant breakfast, powder, sweetened with low calorie sweetener, not reconstituted",35.7999,5.0999,41,358
155,11830900,"Protein supplement powder, milk-based, not reconstituted",29.3999,1.5,58.7999,366
156,11830940,"Meal replacement powder, high protein, milk-based, to mix with fruit juice, not reconstituted",32,0,54.5,346
157,11830970,"Meal replacement powder, milk-based, not reconstituted",17.6,0.4,63.5,324
158,11830990,"Nutrient supplement powder, milk-based, not reconstituted",23.5,3.5,66.4,388
159,11831500,"Nutrient supplement powder, milk-based, high protein, not reconstituted",55.6,7.4,18.5,363
160,11832000,"Meal replacement powder, milk- and soy-based,  not reconstituted",33.7,2.2,47.2,343
161,12110100,"Cream, light",2.7,19.3098,3.66,195
162,12110300,"Cream, light, whipped, unsweetened",2.1699,30.91,2.96,292
163,12120100,"Cream, half and half",2.96,11.5,4.2999,130
164,12120105,"Cream, half and half, low fat",2.7799,6.45,6.65,94
165,12120110,"Cream, half and half, fat free",2.6,1.3998,9,59
166,12130100,"Cream, heavy (whipping cream)",2.0499,37,2.79,345
167,12130200,"Cream, heavy, whipped, unsweetened",2.0499,37,2.79,345
168,12140000,"Cream, heavy, whipped, sweetened",1.9299,34.81,8.5398,348
169,12140100,"Cream, whipped, pressurized container",3.2,22.2198,12.49,257
170,12140105,"Cream, whipped, pressurized container, light",3.2,22.2198,12.49,257
171,12140110,"Cream, whipped, pressurized container, fat free",3,5,25,149
172,12210200,"Coffee creamer, liquid",1,9.97,11.38,136
173,12210210,"Coffee creamer, flavored, liquid",0.69,13.5,35.07,251
174,12210250,"Coffee creamer, light, liquid",0.8,3.5,9.0998,71
175,12210400,"Coffee creamer, powdered",4.79,35.4799,54.88,545
176,12210410,"Coffee creamer, light, powdered",1.8998,15.6999,73.4,431
177,12210420,"Coffee creamer, flavored, powdered",0.68,21.4698,75.42,482
178,12220100,Cool Whip pressurized can,0.98,22.3,16.07,264
179,12220200,Cool Whip frozen,1.25,25.3098,23.05,318
180,12220250,Cool Whip Lite frozen,3,13.1,23.6,224
181,12220270,Cool Whip Free frozen,3,5,25,149
182,12220280,Cool Whip Sugar Free frozen ,3,13.1,23.6,224
183,12220300,Dream Whip ,3.6099,12.72,17.1298,194
184,12310100,Sour cream,2.0699,19.73,2.8799,193
185,12310200,"Sour cream, half and half",2.94,12,4.2599,135
186,12310300,"Sour cream, reduced fat",7,14.1,7,181
5768,12310340,"Sour cream, low fat",3.5,10.6,7.0998,136
187,12310350,"Sour cream, light",3.5,10.6,7.0998,136
188,12310370,Nonfat sour cream ,3.1,0,15.6,74
189,12320100,"Sour cream, imitation (nondairy)",2.3999,19.52,6.6299,208
190,12350000,"Dip, made with sour cream",1.86,31.64,2.73,299
191,12350000,"Dip, made with fat free sour cream",3.41,0.024,19.102,89.501
192,12350000,"Dip, made with light sour cream",3.79,9.852,11.326,149.299
193,12350020,"Dip, made with reduced fat sour cream",2.5,25.53,3.75,253
194,12350100,"Spinach dip, made with sour cream and mayonnaise",2.22,24.2398,5.19,244
195,12350100,"Spinach dip, made with fat free sour cream and low-calorie mayonnaise",2.471,5.386,14.395,110.93
196,12350100,"Spinach dip, made with reduced fat sour cream and mayonnaise",3.5499,23.712,6.8949,248.53
6152,12350110,Spinach and artichoke dip,6.11,19.16,6.45,217
197,13110100,"Ice cream, regular, vanilla or other flavors",3.5,11,23.6,207
198,13110110,"Ice cream, regular, chocolate",3.7999,11,28.1999,216
199,13110120,"Ben and Jerry's ice cream, vanilla or other flavors",3.5,16.1999,22.2898,249
200,13110130,"Ben and Jerry's ice cream, chocolate",4.7199,16.98,20.75,255
201,13110200,"Ice cream, soft serve, vanilla or other flavors",3.5,11,23.6,207
202,13110210,"Ice cream, soft serve, chocolate",4.0998,13,22.1999,222
203,13110320,"Ice cream, no sugar added, vanilla or other flavors",3.1699,12.6999,22.23,216
204,13110330,"Ice cream, no sugar added, chocolate",3.7999,12.6999,26.8,237
205,13120050,"Ice cream bar, no coating",3.5,11,23.6,207
206,13120100,"Ice cream bar, chocolate covered",4.0998,24.1,24.5,331
207,13120110,"Ice cream bar, chocolate or caramel covered, with nuts",4.4,20.1999,30.8998,323
208,13120120,"Dove bar, chocolate ice cream",4.4199,23.35,35.42,348
209,13120121,"Dove bar, vanilla ice cream",4.74,20.2398,33.42,335
210,13120130,Haagen-Dazs ice cream bar with nuts,5.9,22.16,29.6,338
211,13120140,"Ice cream bar, chocolate ice cream, chocolate covered",4.62,15,34.89,284
212,13120300,"Ice cream bar, cake covered",4.33,13.49,36.78,278
6153,13120310,"Ice cream bar, with crunch coating",2.1099,25.26,37.1199,358
213,13120400,Ice cream bar or stick with fruit,2.27,6.23,24.73,161
214,13120500,Ice cream sandwich,4.29,8.57,37.14,237
215,13120550,Ice cream cookie sandwich,3.7,7.4,39.6,240
216,13120700,"Ice cream cone, vanilla ice cream or other flavors, with nuts",5.91,16.23,25.6498,267
217,13120710,"Ice cream cone, vanilla ice cream or other flavors, chocolate covered, with nuts",5.21,21.8798,34.38,354
218,13120720,"Ice cream cone, vanilla ice cream or other flavors, chocolate covered",3.8799,12.32,30.91,245
219,13120730,"Ice cream cone, vanilla ice cream or other flavors ",3.7599,10.77,26.77,219
220,13120750,"Ice cream cone, chocolate ice cream, with nuts",6.2999,15.63,29.3298,274
221,13120760,"Ice cream cone, chocolate ice cream, chocolate covered ",4.08,11.25,34.56,247
222,13120770,"Ice cream cone, chocolate ice cream",4.07,9.5198,31.85,226
223,13120780,"Ice cream cone, chocolate ice cream, chocolate covered, with nuts",6.1398,16.71,31.93,289
224,13120790,Drumstick ice cream sundae cone,5.6699,15.2898,29.75,271
225,13120800,"Ice cream soda, vanilla or other flavors",0.92,2.8999,14.02,85
226,13120810,"Ice cream soda, chocolate",1,2.8999,15.23,87
227,13121100,"Ice cream sundae, fruit topping, with whipped cream",2.2799,10.88,33.34,235
228,13121200,"Ice cream sundae, prepackaged, vanilla or other flavors",4.2999,6,29.3998,185
229,13121300,"Ice cream sundae, chocolate or fudge topping, with whipped cream",3.62,13.57,32.2999,264
230,13121400,"Ice cream sundae, caramel or butterscotch topping, with whipped cream",2.27,11.4,35.3299,244
231,13121500,"Ice cream sundae, fudge topping, with cake and whipped cream",3.7799,13.6,35.89,279
232,13122100,"Ice cream pie, no crust",3.31,14.38,20.8998,225
233,13122500,"Ice cream pie, with cookie crust, fudge topping, and whipped cream",3.96,13.84,40.85,303
234,13126000,Fried ice cream,3.98,15.06,32.6099,280
235,13130300,"Ice cream, light, vanilla or other flavors ",4.78,4.83,29.46,180
236,13130310,"Ice cream, light, chocolate",5,7.19,25.6999,187
237,13130330,"Ice cream, light, no sugar added, vanilla or other flavors",3.97,7.45,21.42,169
238,13130340,"Ice cream, light, no sugar added, chocolate",3.54,5.74,26.7898,173
239,13130600,"Ice cream, light, soft serve, vanilla or other flavors",4.9,2.6,21.8,126
240,13130610,"Ice cream, light, soft serve, chocolate",3.3599,3.69,23.1498,141
241,13130620,"Ice cream, light, soft serve cone, vanilla or other flavors",4.24,4.86,26.3599,163
242,13130630,"Ice cream, light, soft serve cone, chocolate",5.08,5.36,28.3,166
243,13130700,"Ice cream, light, soft serve, blended with candy or cookies (Blizzard, McFlurry)",4,6.0598,26.18,176
244,13135000,"Ice cream sandwich, light vanilla ice cream",4.29,3.04,39.64,186
245,13135010,"Ice cream sandwich, light chocolate ice cream",5.58,6.5998,38.5399,236
246,13136000,"Ice cream sandwich, light, no-sugar- added ice cream",5.71,2.8599,42.8599,200
247,13140100,"Ice cream bar, light ice cream, chocolate-coated",3.98,17.46,30.3098,289
248,13140110,"Ice cream bar, light ice cream, chocolate covered, with nuts",7.11,22.03,28.35,329
249,13140500,"Ice cream cone, light ice cream, chocolate",5.15,2.93,26.1999,148
250,13140550,"Ice cream cone, light ice cream, vanilla or other flavors ",4.5598,3.5,30.0398,168
251,13140600,"Ice cream sundae, light, soft serve, chocolate or fudge topping, with whipped cream ",4.2698,10.64,35.7999,255
252,13140630,"Ice cream sundae, light, soft serve, fruit topping, with whipped cream",2.8399,7.7698,36.9099,223
253,13140650,"Ice cream sundae, light, soft serve, caramel or butterscotch topping, with whipped cream",2.8999,6.21,42.4099,228
254,13140660,"Ice cream sundae, light, soft serve, chocolate or fudge topping, no whipped cream",4.82,4.16,32.0099,182
255,13140670,"Ice cream sundae, light, soft serve, fruit topping, no whipped cream",3.73,1.98,32.8599,158
256,13140680,"Ice cream sundae, light, soft serve, caramel or butterscotch topping, no whipped cream",3.73,2.3999,34.4799,165
257,13140700,Creamsicle or dreamsicle,2.85,3.3399,29.9499,161
258,13140900,Fudgesicle,5.3098,5.16,30.6099,182
259,13142000,"Milk dessert bar or stick, frozen, with coconut",5.37,5.94,21.26,157
260,13150000,"Sherbet, all flavors",1.1,2,30.3998,144
261,13160150,"Fat free ice cream, no sugar added, chocolate",3.54,5.74,26.7898,173
262,13160160,"Fat free ice cream, no sugar added, vanilla or other flavors",4.41,0,27.94,129
263,13160400,"Fat free ice cream, vanilla or other flavors",4.48,0,30.0598,138
264,13160410,"Fat free ice cream, chocolate",4.2999,1,37.7,167
265,13161000,"Milk dessert bar, frozen, made from low fat milk",4.41,1.47,33.09,147
266,13161500,"Milk dessert sandwich bar, frozen, made from low fat milk",5.5,3.1,35.57,189
267,13161520,"Milk dessert sandwich bar, frozen, with low-calorie sweetener, made from low fat milk",5.95,9.7898,53.3599,316
268,13161600,"Milk dessert bar, frozen, made from low fat milk and low calorie sweetener",3.6,0.97,22.28,105
269,13161630,"Light ice cream, bar or stick, with low-calorie sweetener, chocolate-coated ",6.4,10.1,26.1099,221
270,13170000,Baked Alaska,4.83,9.7798,35.5799,248
6154,13210110,"Bread pudding, with raisins",5.5198,4.6299,23.4698,154
271,13210110,"Bread pudding, with low fat (1%) milk",5.58,4.0198,23.5598,149
272,13210110,"Bread pudding, with reduced fat (2%) milk",5.54,4.6799,23.43,154
273,13210110,"Bread pudding, with whole  milk",5.44,5.5099,23.43,162
274,13210110,"Bread pudding, with fat free (skim) milk",5.58,3.43,23.4898,144
275,13210150,"Bread pudding, Puerto Rican, with evaporated milk and rum ",8.1898,9.1198,38.6499,271
276,13210160,"Diplomat pudding, Puerto Rican ",6.6799,8.3598,43.6,276
277,13210180,"Bread pudding, Mexican ",5.0598,11.5,40.9799,280
278,13210180,"Bread pudding, Mexican, with milk ",5.8399,11.89,41.9099,291
279,13210190,"Bread pudding, Mexican, lower fat",7.4699,5.8898,50.34,278
280,13210300,"Custard, with whole milk",4.95,4.5,10.92,104
281,13210300,"Custard, with reduced fat (2%) milk",5.08,3.3999,10.92,94
282,13210300,"Custard, with heavy cream",4.03,33.53,9.3,349
283,13210300,"Custard, with fat free (skim) milk",5.1398,1.75,11.0398,80
284,13210300,"Custard, with low fat (1%) milk",5.1398,2.52,11.08,87
285,13210300,"Custard, with soymilk",4.5,2.96,11.06,89
286,13210350,"Custard, Puerto Rican style, with evaporated milk",5.2199,4.7,29.0398,177
287,13210350,"Custard, Puerto Rican style, with reduced fat (2%) milk",4.1398,2.97,27.6,151
288,13210350,"Custard, Puerto Rican style, with whole milk",4.0899,3.3599,27.6,155
289,13210350,"Custard, Puerto Rican style, with heavy cream",3.7599,13.44,27.16,240
6155,13210350,"Flan, made with skim milk",4.16,2.39,27.6298,146
290,13210410,"Pudding, rice, with rice beverage",1.23,0.882,29.7669,129.999
291,13210410,"Pudding, rice, with reduced fat (2%) milk",3.636,1.673,26.6909,133.848
292,13210410,"Pudding, rice, with whole milk",3.5169,2.677,26.6909,142.5449
293,13210410,"Pudding, rice, with low fat (1%) milk",3.6909,0.875,26.8419,127.524
294,13210410,"Pudding, rice, with half and half",3.365,9.173,26.405,197.275
295,13210410,"Pudding, rice, with fat free (skim) milk",3.692,0.171,26.765,120.995
296,13210410,"Pudding, rice, with soy milk (soy beverage)",3.1099,1.2829,26.7869,128.5569
297,13210500,"Pudding, tapioca,  home recipe, with reduced fat (2%) milk",4.7199,3.16,17.01,114
298,13210500,"Pudding, tapioca,  home recipe, with whole milk",4.5998,4.1798,17.01,123
299,13210500,"Pudding, tapioca,  home recipe, with fat free (skim)  milk ",4.7698,1.62,17.1,101
6156,13210500,"Tapioca pudding, home recipe, with low fat (1%) milk",4.78,2.3399,17.16,108
300,13210520,"Pudding, tapioca,  dry mix, with whole milk ",2.97,3.06,19.8298,117
301,13210520,"Pudding, tapioca,  dry mix, with fat free (skim)  milk",3.18,0.08,19.93,91
302,13210520,"Pudding, tapioca,  dry mix, with reduced fat (2%) milk",3.12,1.87,19.8298,107
303,13210520,"Pudding, tapioca,  dry mix, with low fat (1%) milk ",3.18,0.92,20,99
304,13210520,"Pudding, tapioca,  dry mix, with light cream",2.54,18.16,18.96,244
305,13210520,"Pudding, tapioca,  dry mix, with half and half",2.79,10.83,19.46,182
306,13210520,"Pudding, tapioca,  dry mix, with soy milk (soy beverage)",2.49,1.3998,19.9499,100
307,13210530,"Pudding, tapioca, chocolate, with milk",3.6,2.16,21.3298,111
308,13210610,"Coconut pudding, with reduced fat (2%) milk ",2.97,3.4199,17.59,112
309,13210610,"Coconut pudding, with whole milk ",2.8399,4.5099,17.59,121
310,13210710,"Indian pudding, (with milk, molasses and cornmeal)",4.0998,3.5699,21.18,133
311,13210750,"Pudding, pumpkin",1.21,3.0699,16.85,99
312,13210810,"Pudding, pumpkin, Puerto Rican style",3.6,4.44,16.28,116
313,13210820,"Custard, fresh corn, Puerto Rican style ",3.89,24.96,46.25,398
